2462,2186,268,7154
2469,2104,576,7146
2475,1974,568,7044
2482,2266,614,7176
2489,2098,432,7046
2496,2006,286,7112
2503,2022,260,7034
2510,2246,344,7046
2517,2352,374,7050
2524,2300,362,7126
2531,2234,478,6924
2538,1932,466,6926
2545,1884,474,7014
2552,1680,122,6870
2559,1960,422,7006
2565,1984,324,7072
2572,2136,542,7398
2579,2194,342,7084
2586,2076,562,7210
2593,2296,570,7172
2600,2304,540,7270
2607,2196,494,7178
2614,2024,252,7020
2621,2012,350,7158
2628,2126,368,7146
2635,2184,496,7280
2642,2112,140,7116
2649,2120,400,7304
2655,2260,368,7196
2663,2322,464,7294
2669,2202,516,7330
2676,2202,546,7168
2683,2364,540,7116
2690,2314,188,7168
2697,2418,242,7146
2704,2376,456,7264
2711,2366,302,7194
2718,2436,136,6826
2725,2408,120,7226
2732,2450,64,6952
2739,2352,458,7310
2746,2324,382,7270
2753,2304,130,7088
2760,2312,284,7168
2766,2288,416,7114
2773,2340,600,7110
2780,2296,608,7130
2787,2406,656,7042
2794,2374,768,7136
2801,2134,188,7154
2808,2364,370,7014
2815,2382,140,7082
2822,2408,458,7182
2829,2360,264,6884
2836,2288,324,6982
2843,2240,308,6938
2850,2252,462,7036
2857,2376,454,7030
2863,2352,304,7152
2870,1942,646,7036
2877,2390,214,7042
2884,2436,716,6874
2891,2284,412,7010
2899,2140,538,6966
2905,2180,238,7152
2912,2300,350,7090
2919,2514,278,7034
2926,2418,1246,7012
2933,2632,442,7114
2940,2838,1560,6838
2946,2096,332,6798
2953,1304,-338,6664
2960,1376,-44,7924
2967,342,-956,7380
2974,-976,-652,7952
2981,5708,1062,6120
2988,3584,-1334,6816
2995,4102,428,5876
3002,4168,1308,5628
3009,13368,3252,7248
3016,8,-3898,6928
3023,3162,-692,6864
3030,-7392,-2672,7734
3037,15472,3802,5078
3044,-2384,-3164,9070
3051,1222,-842,9638
3057,3850,404,8622
3064,-1570,-2138,9476
3071,-1128,-2038,24874
3078,4800,-3960,19694
3085,8132,260,22034
3092,6342,8668,27122
3099,1568,-1394,19786
3106,712,-2584,14048
3113,-330,-6888,11580
3120,17102,10560,12226
3127,1862,-1530,17952
3134,15538,768,14320
3141,4772,-2934,29178
3148,6834,-1272,20266
3154,3130,-1270,16534
3161,-1486,-798,12410
3168,-1704,66,8466
3175,-2196,168,6476
3182,-982,966,5990
3189,-2988,240,4938
3196,-1126,1040,5116
3203,-1186,608,4494
3210,-2034,142,3742
3217,-1426,-24,3086
3224,4688,1952,2962
3231,-2954,-1842,1184
3238,-2768,-1776,1680
3245,-1084,-1544,1916
3252,-1034,-1390,2754
3259,-1482,-1404,3306
3266,-548,-1062,3948
3273,-268,-1112,4850
3280,108,-866,5516
3287,512,-698,6146
3293,864,-576,6680
3300,1360,-628,6418
3308,1462,-744,5850
